Ref_Key,Number,Date,Posted,Контрагент_Key,ДоговорКонтрагента_Key,СуммаДокумента,ВалютаДокумента_Key,Организация_Key,ДокументОснование,ДокументОснование_Type
395945fa-9a0f-11f0-8a91-c2391847283c,00000000036,2025-09-18T23:59:53,false,d18c5ed8-23bf-11ef-9c49-c2391847283c,d1a774f2-23bf-11ef-9c49-c2391847283c,19596.68,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,0d2e8fb4-3491-11f0-9f53-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
536da66a-9a10-11f0-8a91-c2391847283c,00000000037,2025-09-18T23:59:54,true,d18c5ed8-23bf-11ef-9c49-c2391847283c,d1a774f2-23bf-11ef-9c49-c2391847283c,94517.98,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,e8dee9b4-58d6-11f0-9d13-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
a8777b54-9a10-11f0-8a91-c2391847283c,00000000038,2025-09-18T23:59:55,true,d18c5ed8-23bf-11ef-9c49-c2391847283c,d1a774f2-23bf-11ef-9c49-c2391847283c,49187.68,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,6082364c-5e27-11f0-897a-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
be3fd476-9a11-11f0-8a91-c2391847283c,00000000039,2025-09-18T23:59:56,true,d18c5ed8-23bf-11ef-9c49-c2391847283c,d1a774f2-23bf-11ef-9c49-c2391847283c,47497.22,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,8d11b08c-44ed-11f0-81b0-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
3c882110-9a14-11f0-8a91-c2391847283c,00000000040,2025-09-18T23:59:57,true,6a2d55d4-ac8c-11ef-830a-c2391847283c,6a33d17a-ac8c-11ef-830a-c2391847283c,15130.8,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,110bd260-ed18-11ef-88a6-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
67a64a42-9a15-11f0-8a91-c2391847283c,00000000042,2025-09-18T23:59:59,true,d18c5ed8-23bf-11ef-9c49-c2391847283c,d1a774f2-23bf-11ef-9c49-c2391847283c,106107.85,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,6082364c-5e27-11f0-897a-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
cea2b4d8-9ac9-11f0-8a91-c2391847283c,00000000043,2025-09-18T23:59:59,true,d18c5ed8-23bf-11ef-9c49-c2391847283c,d1a774f2-23bf-11ef-9c49-c2391847283c,51445.26,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,bda1372e-df06-11ef-82b2-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
a96e69e2-9acd-11f0-8a91-c2391847283c,00000000044,2025-09-18T23:59:59,true,6a2d55d4-ac8c-11ef-830a-c2391847283c,6a33d17a-ac8c-11ef-830a-c2391847283c,15398,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,bfd35a18-f72f-11ef-9acd-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
e7572a50-9acd-11f0-8a91-c2391847283c,00000000045,2025-09-18T23:59:59,true,d18c5ed8-23bf-11ef-9c49-c2391847283c,d1a774f2-23bf-11ef-9c49-c2391847283c,39213.91,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,438d2790-df06-11ef-82b2-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
3489ee60-9ad4-11f0-8a91-c2391847283c,00000000046,2025-09-18T23:59:59,true,6a2d55d4-ac8c-11ef-830a-c2391847283c,6a33d17a-ac8c-11ef-830a-c2391847283c,93648,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,d4396a66-e21b-11ef-95ab-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
1c21a4de-9ad5-11f0-8a91-c2391847283c,00000000047,2025-09-18T23:59:59,true,d18c5ed8-23bf-11ef-9c49-c2391847283c,d1a774f2-23bf-11ef-9c49-c2391847283c,18742.95,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,40fe924a-1abe-11f0-80de-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
e9b58af0-9ad5-11f0-8a91-c2391847283c,00000000048,2025-09-18T23:59:59,true,d18c5ed8-23bf-11ef-9c49-c2391847283c,d1a774f2-23bf-11ef-9c49-c2391847283c,26227.93,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,56d708b6-2fc4-11f0-97e4-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
74021dd6-9ad6-11f0-8a91-c2391847283c,00000000049,2025-09-18T23:59:59,false,d18c5ed8-23bf-11ef-9c49-c2391847283c,d1a774f2-23bf-11ef-9c49-c2391847283c,5955.21,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,438d2790-df06-11ef-82b2-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
142063da-984e-11f0-9de8-c2391847283c,00000000030,2025-09-23T12:22:36,true,079c7bdc-f347-11ef-8a5c-c2391847283c,07a07dae-f347-11ef-8a5c-c2391847283c,77637,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,8fc4260e-1a8e-11f0-8729-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
7643eafa-984e-11f0-9de8-c2391847283c,00000000031,2025-09-23T12:25:20,true,079c7bdc-f347-11ef-8a5c-c2391847283c,07a07dae-f347-11ef-8a5c-c2391847283c,150948,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,b719c648-1532-11f0-8efa-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
